graph_id,stratum,W,mean_occupancy,median_occupancy,C_one_step,rho_2,rho_relative_0.2,rho_relative_0.4,rho_relative_0.6,rho_relative_0.8,rho_relative_1.0,event_upper_bound_2,rho_3,event_upper_bound_3,rho_4,event_upper_bound_4,rho_5,event_upper_bound_5,rho_6,event_upper_bound_6,rho_7,event_upper_bound_7,rho_8,event_upper_bound_8,rho_9,event_upper_bound_9,rho_10,event_upper_bound_10,rho_11,event_upper_bound_11,rho_12,event_upper_bound_12,rho_13,event_upper_bound_13,rho_14,event_upper_bound_14,rho_15,event_upper_bound_15,rho_16,event_upper_bound_16,rho_17,event_upper_bound_17,rho_18,event_upper_bound_18,rho_19,event_upper_bound_19,rho_20,event_upper_bound_20
sp_hospital,real,2,0.6360842844600527,0.5,0.4264099037138927,0.2721685689201054,1.0,1.0,0.2721685689201054,0.2721685689201054,0.2721685689201054,0.8568920105355575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,3,0.4858062628036289,0.3333333333333333,0.4215591915303176,0.37050043898156276,1.0,0.37050043898156276,0.37050043898156276,0.08691834942932397,0.08691834942932397,0.8568920105355575,0.08691834942932397,0.7682177348551361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,4,0.4073748902546093,0.25,0.44020172910662825,0.42142230026338895,1.0,0.42142230026338895,0.15891132572431957,0.04916593503072871,0.04916593503072871,0.8568920105355575,0.15891132572431957,0.7682177348551361,0.04916593503072871,0.6953467954345918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,5,0.33380158033362595,0.2,0.40324675324675324,0.44512730465320455,1.0,0.44512730465320455,0.16417910447761194,0.0456540825285338,0.014047410008779631,0.8568920105355575,0.16417910447761194,0.7682177348551361,0.0456540825285338,0.6953467954345918,0.014047410008779631,0.6338893766461808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,6,0.2856306701785192,0.16666666666666666,0.3475308641975309,0.44776119402985076,0.44776119402985076,0.16593503072870938,0.07111501316944688,0.025460930640913083,0.003511852502194908,0.8568920105355575,0.16593503072870938,0.7682177348551361,0.07111501316944688,0.6953467954345918,0.025460930640913083,0.6338893766461808,0.003511852502194908,0.5856014047410009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,7,0.25849742882227517,0.14285714285714285,0.30662824207492795,0.4793678665496049,0.4793678665496049,0.20368744512730466,0.03511852502194908,0.006145741878841089,0.0,0.8568920105355575,0.20368744512730466,0.7682177348551361,0.08516242317822652,0.6953467954345918,0.03511852502194908,0.6338893766461808,0.006145741878841089,0.5856014047410009,0.0,0.543459174714662,,,,,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,8,0.23287971905179983,0.125,0.29827490261547024,0.4697102721685689,0.4697102721685689,0.10272168568920105,0.048287971905179985,0.00877963125548727,0.000877963125548727,0.8568920105355575,0.2115891132572432,0.7682177348551361,0.10272168568920105,0.6953467954345918,0.048287971905179985,0.6338893766461808,0.021071115013169446,0.5856014047410009,0.00877963125548727,0.543459174714662,0.000877963125548727,0.5100965759438104,,,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,9,0.20407765096088185,0.1111111111111111,0.20079185520361992,0.4872695346795435,0.4872695346795435,0.0913081650570676,0.01141352063213345,0.0,0.0,0.8568920105355575,0.208955223880597,0.7682177348551361,0.0913081650570676,0.6953467954345918,0.03511852502194908,0.6338893766461808,0.01141352063213345,0.5856014047410009,0.0026338893766461808,0.543459174714662,0.0,0.5100965759438104,0.0,0.4679543459174715,,,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,10,0.1871817383669886,0.1,0.1956882255389718,0.4916593503072871,0.4916593503072871,0.09394205443371378,0.013169446883230905,0.0,0.0,0.8568920105355575,0.2212467076382792,0.7682177348551361,0.09394205443371378,0.6953467954345918,0.04741000877963126,0.6338893766461808,0.013169446883230905,0.5856014047410009,0.004389815627743635,0.543459174714662,0.0,0.5100965759438104,0.0,0.4679543459174715,0.0,0.4433713784021071,,,,,,,,,,,,,,,,,,,,
sp_hospital,real,11,0.17447521749541064,0.09090909090909091,0.21256038647342995,0.4916593503072871,0.2405618964003512,0.048287971905179985,0.006145741878841089,0.0,0.0,0.8568920105355575,0.2405618964003512,0.7682177348551361,0.10272168568920105,0.6953467954345918,0.048287971905179985,0.6338893766461808,0.02897278314310799,0.5856014047410009,0.006145741878841089,0.543459174714662,0.000877963125548727,0.5100965759438104,0.0,0.4679543459174715,0.0,0.4433713784021071,0.0,0.4231782265144864,,,,,,,,,,,,,,,,,,
sp_hospital,real,12,0.15539947322212466,0.08333333333333333,0.1672203765227021,0.47058823529411764,0.21246707638279191,0.048287971905179985,0.000877963125548727,0.0,0.0,0.8568920105355575,0.21246707638279191,0.7682177348551361,0.10272168568920105,0.6953467954345918,0.048287971905179985,0.6338893766461808,0.021071115013169446,0.5856014047410009,0.00877963125548727,0.543459174714662,0.000877963125548727,0.5100965759438104,0.0,0.4679543459174715,0.0,0.4433713784021071,0.0,0.4231782265144864,0.0,0.4038630377524144,,,,,,,,,,,,,,,,
