condition,stratum,arm,method,sources,sources_with_valid,MAE_2,ProfileMAE,signed_rho_2,validity,fallback_rate,old_rule_MAE_2,old_rule_ProfileMAE,old_rule_signed_rho_2,old_rule_fallback_rate,ET_profile_validity,draw_clustered_MCSE_2,skill_vs_plugin,not_correctable_at_this_budget_sources,ET_in_distribution
dar_a0,synthetic,R,plugin,2,2,0.03694009966824296,0.013057300946961585,6.051917152095389e-05,1.0,,,,,,,0.008015014197089172,0.0,,False
dar_a0,synthetic,R,median,2,2,0.03677670046381365,0.03508417697610491,-0.03677670046381365,1.0,,,,,,,0.0,0.004423355808370499,,False
dar_a0,synthetic,R,mle,2,2,0.032168416225836355,0.011853084822618952,-0.006237609067223862,1.0,0.0,0.032168416225836355,0.011853084822618952,-0.006237609067223862,0.0,,0.009377670665902458,0.12917354000830628,,False
dar_a0,synthetic,R,et,2,2,0.03714733316276023,0.01375427216738117,-0.0017301625493813255,1.0,,,,,,1.0,0.007858739684323178,-0.00560998742229768,,True
dar_a0,synthetic,R,qwen_thinking,2,2,0.03956672897059482,0.013771479996501922,-0.00405371204759788,1.0,,,,,,,0.006479158559088736,-0.07110509516599794,,False
dar_a0,synthetic,R,qwen_nonthinking,2,2,0.29918228795240215,0.23040176069850937,0.29918228795240215,1.0,,,,,,,0.03549404401436707,-7.099119673182859,,False
dar_a0,synthetic,S,plugin,2,2,0.18322119152616853,0.07584215245724807,0.18322119152616853,1.0,,,,,,,0.012006357833332705,0.0,,False
dar_a0,synthetic,S,median,2,2,0.03677670046381365,0.03508417697610491,-0.03677670046381365,1.0,,,,,,,0.0,0.7992770369110878,,False
dar_a0,synthetic,S,design,2,2,0.015767845294451743,0.009282418280918619,0.014940443570719794,1.0,,,,,,,0.008050497809291306,0.9139409302869875,,False
dar_a0,synthetic,S,mle,2,2,0.015247357335190764,0.008566916381360413,0.014525476083393624,1.0,0.0,0.015307029432965986,0.008566920711242439,0.01458514818116885,0.16666666666666666,,0.008212807863274555,0.9167816931644991,,False
dar_a0,synthetic,S,et,2,2,0.017256990610581953,0.010717432544868951,0.017256990610581953,1.0,,,,,,0.8333333333333334,0.009996094348468591,0.905813347971175,,True
dar_a0,synthetic,S,qwen_thinking,2,2,0.11152543502840048,0.046622918708092945,0.09575174787468177,1.0,,,,,,,0.027111317847839426,0.3913071184646679,,False
