stratum,arm,config_id,mock,source,metric,value,MCSE,MCSE_model_repeats,MCSE_sampler,draws,withheld_fallback_only,valid_fraction,limit_fraction,technical_failure_fraction,fence_fraction,other_answer_error_fraction,replacement_fraction,empty_fraction
real,R,sol,False,copenhagen_bluetooth,baseline_AE2,0.015608586668310453,0.00503924289093137,0.0,0.00503924289093137,5,False,,,,,,,0.0
real,R,sol,False,snap_collegemsg,baseline_AE2,0.010954237027583103,0.0030732261468476843,0.0,0.0030732261468476843,5,False,,,,,,,0.0
real,R,sol,False,snap_email_eu,baseline_AE2,0.014918967776533199,0.0050828015006363254,0.0,0.0050828015006363254,5,False,,,,,,,0.0
real,R,sol,False,snap_mathoverflow,baseline_AE2,0.004805821899245277,0.0022215197819832147,0.0,0.0022215197819832147,5,False,,,,,,,0.0
real,R,sol,False,sp_highschool2013,baseline_AE2,0.011789265613147203,0.00577531580776804,0.0,0.00577531580776804,5,False,,,,,,,0.0
real,R,sol,False,sp_hospital,baseline_AE2,0.06025365153553711,0.020703438336502917,0.0,0.020703438336502917,5,False,,,,,,,0.0
real,R,sol,False,copenhagen_bluetooth,plugin_AE2,0.015608586668310453,0.00503924289093137,0.0,0.00503924289093137,5,False,,,,,,,0.0
real,R,sol,False,snap_collegemsg,plugin_AE2,0.010954237027583103,0.0030732261468476843,0.0,0.0030732261468476843,5,False,,,,,,,0.0
real,R,sol,False,snap_email_eu,plugin_AE2,0.014918967776533199,0.0050828015006363254,0.0,0.0050828015006363254,5,False,,,,,,,0.0
real,R,sol,False,snap_mathoverflow,plugin_AE2,0.004805821899245277,0.0022215197819832147,0.0,0.0022215197819832147,5,False,,,,,,,0.0
real,R,sol,False,sp_highschool2013,plugin_AE2,0.011789265613147203,0.00577531580776804,0.0,0.00577531580776804,5,False,,,,,,,0.0
real,R,sol,False,sp_hospital,plugin_AE2,0.06025365153553711,0.020703438336502917,0.0,0.020703438336502917,5,False,,,,,,,0.0
real,R,sol,False,copenhagen_bluetooth,extratrees_pooled_AE2,0.017885492938470617,0.0009374171035809097,0.0,0.0009374171035809097,5,False,,,,,,,0.0
real,R,sol,False,snap_collegemsg,extratrees_pooled_AE2,0.026228543303251108,0.005783135624628097,0.0,0.005783135624628097,5,False,,,,,,,0.0
real,R,sol,False,snap_email_eu,extratrees_pooled_AE2,0.010888455356598903,0.0026453927126796053,0.0,0.0026453927126796053,5,False,,,,,,,0.0
