graph_id,stratum,rho2,rho_shifted_half_window,rho_equal_event_rank_windows,rho_event_weighted,lifetime_mean,lifetime_median,lifetime_mean_over_horizon,median_interevent_time,burstiness_pooled,burstiness_pair_median,censoring_share_last_window,window_length_over_median_interevent_time,share_single_event_dyads,repeat_rate
sp_hospital,real,0.44512730465320455,0.4635645302897278,0.4503950834064969,0.757186035035776,70480.98331870062,16920.0,0.20282297357899456,20.0,0.7297707639617439,0.379550124874301,0.12291483757682177,3475.0,0.1431079894644425,0.8568920105355575
sp_highschool2013,real,0.4855620488140254,0.4926091440357511,0.4907184599518735,0.9385596367262928,112542.18975592987,14050.0,0.30955602859481207,20.0,0.7167709169628134,0.3320537280085916,0.08834651082846338,3635.6,0.3071502234444826,0.6928497765555174
copenhagen_bluetooth,real,0.44692568841946434,0.4526467999497045,0.4534263799823966,0.9043189179809906,566063.0592229348,13800.0,0.23401672629002224,300.0,0.7197132527590734,0.34910494368498346,0.14270086759713316,1612.6,0.25877027536778574,0.7412297246322143
sp_workplace,real,0.2901263453439401,0.3130556855404773,0.31796911558259244,0.7242648468351033,173629.8408984558,700.0,0.1747587826342732,20.0,0.7159922383007084,0.26780712510088406,0.08540009358914366,9935.4,0.3310715956948994,0.6689284043051006
snap_email_eu,real,0.5057270916334662,0.4976967131474104,0.5194845617529881,0.9448265901171713,16371918.131038347,6115652.0,0.23570535512861032,63400.0,0.5685754098333738,0.17136140395212393,0.002427788844621514,219.11436593059938,0.26400647410358563,0.7359935258964143
snap_collegemsg,real,0.10304957363780894,0.10189333718745483,0.15717589247001013,0.2992395754992897,460812.2298019945,1947.5,0.027533893771942028,1195.0,0.6461929217662665,0.0048260854260193916,0.02312472900708195,2801.0344769874478,0.3780170544876427,0.6219829455123573
snap_mathoverflow,real,0.08438394348515314,0.09125679571883012,0.08674582149734554,0.2682402718976747,6328059.342520188,0.0,0.031162154584545146,43288.0,0.4913493991401842,-0.0004141291337720158,0.15226665815539456,938.2218443910554,0.6036726139180577,0.3963273860819423
nr_digg_reply,real,0.0030649991192531266,0.0032176619106335505,0.003100228994187071,0.007041518276626103,1483.610017027773,0.0,0.0011355650171089617,8257.0,0.29171064829131843,-0.11851991205681767,0.2505313839469203,31.645755116870536,0.989924255768892,0.01007574423110798
sp_hospital__pwt,surrogate,0.8349429323968394,0.8384547848990342,0.8384547848990342,0.9931840611892425,224165.9525899912,263180.0,0.6450818779568093,1080.0,0.4504238040353026,0.07897475892156619,0.03511852502194908,64.35185185185185,0.1431079894644425,0.8568920105355575
sp_highschool2013__pwt,surrogate,0.6632863526985219,0.6674114816088003,0.6648332760398763,0.9884938570246355,187912.81540048125,242920.0,0.5168687847961306,300.0,0.5766440087263021,0.09363205210309213,0.0625644551392231,242.37333333333333,0.3071502234444826,0.6928497765555174
